,Total Change
map-chat/favicons/apple-touch-icon-60x60.png,0
map-chat/favicons/apple-touch-icon-72x72.png,0
map-chat/favicons/apple-touch-icon-76x76.png,0
map-chat/favicons/apple-touch-icon-precomposed.png,0
map-chat/favicons/apple-touch-icon.png,0
map-chat/favicons/browserconfig.xml,55
map-chat/favicons/favicon-16x16.png,0
map-chat/favicons/favicon-32x32.png,0
map-chat/favicons/favicon-96x96.png,0
map-chat/favicons/favicon.ico,0
map-chat/favicons/manifest.json,145
map-chat/favicons/mstile-150x150.png,0
map-chat/favicons/mstile-310x150.png,0
map-chat/favicons/mstile-70x70.png,0
map-chat/images/blue_marker.png,0
map-chat/images/grey_marker.png,0
map-chat/images/p/001.png,0
map-chat/images/p/002.png,0
map-chat/images/p/003.png,0
map-chat/images/p/004.png,0
map-chat/images/p/005.png,0
map-chat/images/p/006.png,0
map-chat/images/p/007.png,0
map-chat/images/p/008.png,0
map-chat/images/p/009.png,0
map-chat/images/p/01.png,0
map-chat/images/p/010.png,0
map-chat/images/p/0100.png,0
map-chat/images/p/0101.png,0
map-chat/images/p/0102.png,0
map-chat/images/p/0103.png,0
map-chat/images/p/0104.png,0
map-chat/images/p/0105.png,0
map-chat/images/p/0106.png,0
map-chat/images/p/0107.png,0
map-chat/images/p/0108.png,0
map-chat/images/p/0109.png,0
map-chat/images/p/011.png,0
map-chat/images/p/0110.png,0
map-chat/images/p/0111.png,0
map-chat/images/p/0112.png,0
map-chat/images/p/0113.png,0
map-chat/images/p/0114.png,0
map-chat/images/p/0115.png,0
map-chat/images/p/0116.png,0
map-chat/images/p/0117.png,0
map-chat/images/p/0118.png,0
map-chat/images/p/0119.png,0
map-chat/images/p/012.png,0
map-chat/images/p/0120.png,0
map-chat/images/p/0121.png,0
map-chat/images/p/0122.png,0
map-chat/images/p/0123.png,0
map-chat/images/p/0124.png,0
map-chat/images/p/0125.png,0
map-chat/images/p/0126.png,0
map-chat/images/p/0127.png,0
map-chat/images/p/0128.png,0
map-chat/images/p/0129.png,0
map-chat/images/p/013.png,0
map-chat/images/p/0130.png,0
map-chat/images/p/0131.png,0
map-chat/images/p/0132.png,0
map-chat/images/p/0133.png,0
map-chat/images/p/0134.png,0
map-chat/images/p/0135.png,0
map-chat/images/p/0136.png,0
map-chat/images/p/0137.png,0
map-chat/images/p/0138.png,0
map-chat/images/p/0139.png,0
